compound,neg,neu,pos,recommendationid,length,readability_score
0.34,0.0,0.455,0.545,51171015,1.3979400086720375,100.0
0.5647,0.063,0.838,0.099,48434843,2.9334872878487053,63.82576687116567
-0.8159,0.131,0.741,0.128,49730158,2.783188691075257,71.70251724137933
-0.4767,0.205,0.795,0.0,149973515,1.869231719730976,100.0
0.1528,0.119,0.739,0.142,149618805,2.0681858617461617,92.43000000000002
-0.6124,0.082,0.851,0.067,136210293,2.982271233039568,76.52599006828058
0.4132,0.071,0.866,0.064,122210273,3.493179120682515,76.9246983738416
0.5118,0.092,0.79,0.119,73172855,2.737192642704737,78.00428571428574
-0.9569,0.079,0.912,0.008,70648654,3.0948203803548,71.02250000000002
0.8372,0.043,0.853,0.104,61970317,2.9190780923760733,66.54375000000002
0.2382,0.0,0.86,0.14,51311396,1.869231719730976,100.0
0.7178,0.032,0.898,0.069,48910893,2.80413943233535,82.76573643410855
0.8919,0.042,0.872,0.087,48593037,2.9604707775342987,76.87717460317461
-0.3919,0.123,0.79,0.087,155953357,2.549003262025788,62.79048076923078
-0.3807,0.09,0.859,0.051,152707755,2.5658478186735176,59.76028571428574
0.9778,0.057,0.764,0.179,152564110,2.971275848738105,82.00310773480663
-0.6121,0.099,0.859,0.042,131784587,2.502427119984433,88.810625
-0.266,0.109,0.789,0.103,129736529,2.8926510338773,79.04993377483444
0.9632,0.027,0.735,0.238,77062612,2.580924975675619,76.95264227642278
-0.8975,0.111,0.802,0.087,75121868,3.3293978793610424,73.68163197969545
-0.3363,0.047,0.919,0.033,72254456,2.981818607170664,66.29957028852057
0.3818,0.0,0.776,0.224,71431621,1.6334684555795864,100.0
0.9847,0.041,0.71,0.249,58966464,2.726727209026572,66.41883647798745
-0.7155,0.071,0.892,0.037,54606597,2.7649229846498886,49.270812324930006
-0.2732,0.083,0.848,0.069,50551203,2.56348108539441,70.61362745098042
-0.841,0.1,0.875,0.025,50448182,2.80413943233535,75.60016129032262
0.9792,0.055,0.824,0.121,48956290,3.266936911159173,83.15216549295775
-0.3437,0.087,0.835,0.078,48890682,2.399673721481037,78.69390909090912
0.088,0.054,0.91,0.036,48760443,2.5705429398818973,72.5969230769231
0.7713,0.0,0.428,0.572,48749568,1.6720978579357173,100.0
0.9969,0.043,0.743,0.214,48739417,3.3138672203691533,59.53118748429256
0.8174,0.0,0.628,0.372,48738476,2.008600171761917,86.70500000000001
0.9161,0.0,0.737,0.263,48727369,2.3242824552976926,54.14000000000003
0.9972,0.055,0.745,0.2,48720263,3.3312247810207323,68.2514138566627
-0.3612,0.455,0.545,0.0,48713451,1.230448921378274,100.0
0.2837,0.059,0.855,0.086,48686370,2.3283796034387376,74.44000000000004
-0.8115,0.141,0.801,0.058,48685420,2.4969296480732144,29.608636363636407
0.974,0.025,0.731,0.243,48668298,2.6148972160331345,85.10258139534885
-0.5423,0.368,0.632,0.0,48659268,1.5051499783199058,100.0
-0.09,0.087,0.833,0.08,48658638,2.429752280002408,57.33750000000002
0.9011,0.053,0.85,0.098,48657677,3.0073209529227443,71.70500000000001
-0.4927,0.067,0.916,0.017,48656859,2.523746466811565,63.40535714285717
0.9673,0.131,0.712,0.157,124571898,3.52022143588196,63.94250000000001
0.9603,0.083,0.732,0.185,120015695,2.875639937004168,60.20100000000004
0.796,0.132,0.629,0.239,106132667,2.394451680826216,80.69000000000003
0.4767,0.105,0.777,0.118,72639078,2.951823035315912,65.12455421686751
0.9721,0.107,0.727,0.165,69162968,3.18098558078673,63.19436090225565
-0.9801,0.256,0.694,0.05,63829088,2.704150516839799,81.0338888888889
-0.3278,0.121,0.762,0.117,54750070,3.3308194664958366,64.79170138888891
0.967,0.059,0.726,0.215,160300903,2.826722520168992,61.76878571428574
0.8555,0.0,0.242,0.758,153260195,1.7075701760979365,100.0
0.3804,0.134,0.657,0.208,153022362,2.1205739312058496,74.39217948717952
0.9391,0.107,0.668,0.225,152953165,2.75815462196739,42.31975945017183
0.0,0.0,1.0,0.0,92124344,1.041392685158225,100.0
0.0,0.0,1.0,0.0,73589538,1.1461280356782375,100.0
0.0,0.0,1.0,0.0,69790774,1.3424226808222062,100.0
0.8899,0.039,0.85,0.111,65213001,2.9350031514536545,69.718427672956
-0.6395,0.122,0.853,0.025,64754166,2.551449997972875,22.644109589041108
0.9934,0.013,0.727,0.26,55169123,2.9537596917332283,72.02436162870947
0.0,0.0,1.0,0.0,50042003,2.123851640967086,63.02000000000002
0.9711,0.0,0.767,0.233,49543791,2.649334858712142,74.90954545454547
0.0516,0.14,0.714,0.146,60455687,2.342422680822206,26.446428571428584
0.8715,0.0,0.72,0.28,160177517,2.252853030979893,93.12454545454548
0.5358,0.0,0.9,0.1,153737898,2.408239965311849,71.38250000000001
0.9466,0.042,0.481,0.477,129063597,2.0530784434834195,73.1421739130435
0.2865,0.117,0.715,0.168,128756732,2.271841606536499,78.9704761904762
0.0,0.0,1.0,0.0,128698240,1.6720978579357173,100.0
