compound,neg,neu,pos,recommendationid
0.34,0.0,0.455,0.545,51171015
0.5647,0.063,0.838,0.099,48434843
-0.8159,0.131,0.741,0.128,49730158
-0.4767,0.205,0.795,0.0,149973515
0.1528,0.119,0.739,0.142,149618805
-0.6124,0.082,0.851,0.067,136210293
0.4132,0.071,0.866,0.064,122210273
0.5118,0.092,0.79,0.119,73172855
-0.9569,0.079,0.912,0.008,70648654
0.8372,0.043,0.853,0.104,61970317
0.2382,0.0,0.86,0.14,51311396
0.7178,0.032,0.898,0.069,48910893
0.8919,0.042,0.872,0.087,48593037
-0.3919,0.123,0.79,0.087,155953357
-0.3807,0.09,0.859,0.051,152707755
0.9778,0.057,0.764,0.179,152564110
-0.6121,0.099,0.859,0.042,131784587
-0.266,0.109,0.789,0.103,129736529
0.9632,0.027,0.735,0.238,77062612
-0.8975,0.111,0.802,0.087,75121868
-0.3363,0.047,0.919,0.033,72254456
0.3818,0.0,0.776,0.224,71431621
0.9847,0.041,0.71,0.249,58966464
-0.7155,0.071,0.892,0.037,54606597
-0.2732,0.083,0.848,0.069,50551203
-0.841,0.1,0.875,0.025,50448182
0.9792,0.055,0.824,0.121,48956290
-0.3437,0.087,0.835,0.078,48890682
0.088,0.054,0.91,0.036,48760443
0.7713,0.0,0.428,0.572,48749568
0.9969,0.043,0.743,0.214,48739417
0.8174,0.0,0.628,0.372,48738476
0.9161,0.0,0.737,0.263,48727369
0.9972,0.055,0.745,0.2,48720263
-0.3612,0.455,0.545,0.0,48713451
0.2837,0.059,0.855,0.086,48686370
-0.8115,0.141,0.801,0.058,48685420
0.974,0.025,0.731,0.243,48668298
-0.5423,0.368,0.632,0.0,48659268
-0.09,0.087,0.833,0.08,48658638
0.9011,0.053,0.85,0.098,48657677
-0.4927,0.067,0.916,0.017,48656859
0.9673,0.131,0.712,0.157,124571898
0.9603,0.083,0.732,0.185,120015695
0.796,0.132,0.629,0.239,106132667
0.4767,0.105,0.777,0.118,72639078
0.9721,0.107,0.727,0.165,69162968
-0.9801,0.256,0.694,0.05,63829088
-0.3278,0.121,0.762,0.117,54750070
0.967,0.059,0.726,0.215,160300903
0.8555,0.0,0.242,0.758,153260195
0.3804,0.134,0.657,0.208,153022362
0.9391,0.107,0.668,0.225,152953165
0.0,0.0,1.0,0.0,92124344
0.0,0.0,1.0,0.0,73589538
0.0,0.0,1.0,0.0,69790774
0.8899,0.039,0.85,0.111,65213001
-0.6395,0.122,0.853,0.025,64754166
0.9934,0.013,0.727,0.26,55169123
0.0,0.0,1.0,0.0,50042003
0.9711,0.0,0.767,0.233,49543791
0.0516,0.14,0.714,0.146,60455687
0.8715,0.0,0.72,0.28,160177517
0.5358,0.0,0.9,0.1,153737898
0.9466,0.042,0.481,0.477,129063597
0.2865,0.117,0.715,0.168,128756732
0.0,0.0,1.0,0.0,128698240
0.5943,0.0,0.804,0.196,128687152
0.7351,0.089,0.738,0.174,50689328
0.7068,0.082,0.757,0.161,161811420
-0.4215,0.583,0.417,0.0,158903157
0.1877,0.0,0.863,0.137,158686750
0.7845,0.025,0.906,0.069,151360402
0.0496,0.071,0.857,0.072,143325892
0.34,0.0,0.912,0.088,142098576
0.3182,0.0,0.635,0.365,142096678
0.6151,0.084,0.808,0.107,141433986
0.2185,0.08,0.825,0.094,140946414
0.0,0.0,1.0,0.0,140438264
-0.9611,0.206,0.676,0.118,138591256
0.5165,0.05,0.819,0.131,138122084
0.9529,0.029,0.82,0.151,137878645
0.9175,0.0,0.481,0.519,137303055
0.7855,0.054,0.805,0.141,132957275
0.914,0.102,0.707,0.19,132822300
-0.8209,0.085,0.856,0.059,131715210
-0.6124,0.464,0.362,0.174,130416594
-0.0772,0.302,0.698,0.0,128562102
-0.9886,0.166,0.744,0.09,127916173
0.8442,0.075,0.803,0.122,127335136
-0.8446,0.125,0.847,0.027,125553130
0.9912,0.075,0.808,0.117,123826303
-0.7964,0.093,0.862,0.045,123382290
0.0,0.0,1.0,0.0,122000424
-0.4344,0.115,0.805,0.08,121704297
-0.9399,0.11,0.774,0.116,120930726
0.8181,0.084,0.653,0.263,120532395
-0.3098,0.14,0.86,0.0,119847123
-0.2755,0.513,0.487,0.0,119584091
0.8909,0.07,0.83,0.1,119383240
-0.4215,0.219,0.781,0.0,118962420
0.7455,0.145,0.681,0.174,118951874
0.0,0.0,1.0,0.0,117741036
0.5679,0.076,0.797,0.127,117461277
0.7096,0.137,0.714,0.149,116687813
0.2575,0.178,0.622,0.201,116451122
-0.7926,0.112,0.78,0.107,116440824
-0.6249,0.24,0.76,0.0,115870155
0.6369,0.0,0.792,0.208,115743386
-0.8686,0.137,0.766,0.098,113544790
-0.5897,0.173,0.827,0.0,113532292
-0.4215,0.083,0.917,0.0,112422094
-0.5267,0.298,0.702,0.0,108661192
