compound,neg,neu,pos,recommendationid
0.9369,0.0,0.589,0.411,50389697
0.2507,0.181,0.567,0.252,49289090
0.8622,0.0,0.61,0.39,58564659
0.8126,0.099,0.417,0.484,147006145
0.0,0.0,1.0,0.0,86109120
0.4215,0.0,0.263,0.737,66598773
0.0,0.0,1.0,0.0,49817269
-0.4588,0.072,0.895,0.033,50372448
-0.7964,0.78,0.22,0.0,49300731
0.905,0.0,0.707,0.293,11049635
0.7125,0.091,0.738,0.171,10873344
0.9528,0.086,0.722,0.192,49215473
0.9328,0.058,0.766,0.176,51084257
0.7717,0.0,0.806,0.194,10988269
0.8228,0.057,0.83,0.113,49188442
0.2914,0.0,0.696,0.304,69261819
0.4404,0.0,0.0,1.0,62040946
0.5106,0.0,0.891,0.109,64380114
-0.6149,0.102,0.8,0.097,51233621
0.4404,0.0,0.256,0.744,40120968
-0.8494,0.105,0.87,0.025,50074400
0.9557,0.035,0.795,0.17,39869014
0.9711,0.057,0.744,0.199,10190249
-0.3818,0.137,0.739,0.124,50038930
0.0,0.0,1.0,0.0,84192419
0.0,0.0,1.0,0.0,22348571
0.8948,0.069,0.791,0.14,9772083
-0.7311,0.135,0.778,0.087,49723235
0.9346,0.045,0.719,0.236,49304366
0.5723,0.121,0.76,0.119,50233577
0.993,0.016,0.754,0.23,15628491
0.6696,0.0,0.308,0.692,11224505
0.6239,0.0,0.423,0.577,11914566
-0.9172,0.152,0.79,0.059,49619266
0.1027,0.085,0.836,0.079,7615211
0.6361,0.0,0.634,0.366,99886028
0.9935,0.047,0.681,0.273,85497291
0.7072,0.0,0.812,0.188,9835109
0.0,0.0,1.0,0.0,66699226
0.6461,0.094,0.697,0.209,47474687
0.6369,0.0,0.714,0.286,21282277
0.87,0.051,0.85,0.099,37985521
0.8748,0.118,0.645,0.237,50087220
-0.5574,1.0,0.0,0.0,47689451
0.9273,0.072,0.628,0.299,83399185
0.0,0.0,1.0,0.0,116734744
0.9886,0.043,0.807,0.15,55109756
0.6249,0.0,0.196,0.804,61485003
0.9196,0.0,0.594,0.406,69149671
-0.3182,0.141,0.859,0.0,74866219
-0.2263,1.0,0.0,0.0,103005072
-0.6295,0.237,0.596,0.167,49469948
0.9925,0.09,0.789,0.121,45660576
0.4464,0.053,0.876,0.071,49301515
0.9625,0.049,0.824,0.128,28305583
0.2626,0.078,0.847,0.075,109838547
-0.9428,0.137,0.783,0.08,49332600
0.8856,0.076,0.697,0.226,50276629
-0.8242,0.118,0.857,0.024,43920218
0.7814,0.083,0.698,0.219,132849765
0.9093,0.026,0.886,0.088,43748097
0.4404,0.0,0.961,0.039,49510916
0.9865,0.105,0.714,0.181,50803970
0.3612,0.0,0.8,0.2,67537000
-0.6489,0.133,0.828,0.039,49342126
0.0,0.0,1.0,0.0,50255908
-0.4344,0.365,0.635,0.0,50099912
-0.9867,0.313,0.579,0.109,135721618
0.9798,0.073,0.818,0.109,49784016
0.9186,0.127,0.678,0.195,49730278
0.0,0.0,0.0,0.0,146244419
0.9222,0.066,0.66,0.274,17073607
0.9186,0.0,0.809,0.191,17973503
0.9984,0.046,0.693,0.26,62978740
-0.5645,0.136,0.764,0.099,50759657
0.8726,0.036,0.864,0.101,32322320
0.9818,0.091,0.776,0.133,50934977
0.7089,0.1,0.603,0.297,17716837
0.4829,0.058,0.806,0.136,55148157
0.9824,0.0,0.727,0.273,33622104
0.8225,0.0,0.765,0.235,9882309
0.0,0.0,1.0,0.0,43235737
0.4927,0.0,0.238,0.762,65506480
0.0,0.0,1.0,0.0,47630835
0.9763,0.103,0.742,0.155,43879707
0.0,0.0,1.0,0.0,47664018
0.6588,0.0,0.185,0.815,9464695
0.6879,0.064,0.805,0.132,8727564
-0.396,0.092,0.812,0.097,43379472
-0.7096,0.134,0.866,0.0,47915542
-0.9302,0.169,0.795,0.035,45655617
0.8576,0.0,0.241,0.759,62781222
0.9105,0.065,0.838,0.097,49338325
-0.4019,0.474,0.526,0.0,28655759
-0.1076,0.119,0.76,0.12,48263020
0.7876,0.13,0.709,0.161,22851904
0.0,0.0,1.0,0.0,8216291
0.5106,0.0,0.864,0.136,13772061
0.3804,0.035,0.894,0.07,50123632
-0.8414,0.09,0.871,0.039,49581897
0.836,0.0,0.574,0.426,71974684
-0.6973,0.153,0.799,0.048,63241716
0.9686,0.0,0.628,0.372,28651823
0.5827,0.0,0.346,0.654,148880153
0.0,0.0,1.0,0.0,15110645
0.0,0.0,1.0,0.0,62809879
0.7506,0.0,0.61,0.39,17024917
0.8176,0.0,0.348,0.652,15548571
0.8807,0.083,0.521,0.396,49080426
0.0,0.0,1.0,0.0,125652888
0.9849,0.08,0.77,0.15,49346436
0.8555,0.0,0.323,0.677,49376994
-0.2013,0.108,0.798,0.094,46947864
0.0,0.0,1.0,0.0,9174742
0.8805,0.142,0.406,0.453,13789351
0.8658,0.054,0.758,0.188,55561232
0.7349,0.0,0.762,0.238,38164283
-0.6249,0.451,0.549,0.0,46882050
0.4843,0.183,0.523,0.293,61725745
-0.8807,0.505,0.495,0.0,49293588
0.0,0.0,1.0,0.0,28912194
-0.3182,0.247,0.753,0.0,16449297
-0.6742,0.187,0.813,0.0,47851849
