recommendationid,is_developer_responsed
50389697,1
49289090,1
58564659,0
147006145,0
86109120,0
66598773,0
49817269,1
50372448,1
49300731,1
11049635,0
10873344,0
49215473,1
51084257,1
10988269,0
49188442,1
69261819,0
62040946,0
64380114,0
51233621,1
40120968,0
50074400,1
39869014,0
10190249,0
50038930,1
84192419,0
22348571,0
9772083,0
49723235,1
49304366,0
50233577,1
15628491,0
11224505,0
11914566,0
49619266,1
7615211,0
99886028,0
85497291,0
9835109,0
66699226,0
47474687,1
21282277,0
37985521,0
50087220,1
47689451,1
83399185,0
116734744,0
55109756,1
61485003,0
69149671,0
74866219,0
103005072,0
49469948,1
45660576,1
49301515,1
28305583,0
109838547,0
49332600,1
50276629,1
43920218,1
132849765,0
43748097,1
49510916,1
50803970,1
67537000,0
49342126,1
50255908,1
50099912,1
135721618,0
49784016,1
49730278,1
146244419,0
17073607,0
17973503,0
62978740,0
50759657,1
32322320,0
50934977,1
17716837,0
55148157,1
33622104,0
9882309,0
43235737,0
65506480,0
47630835,1
43879707,1
47664018,1
9464695,0
8727564,0
43379472,1
47915542,1
45655617,1
62781222,0
49338325,1
28655759,0
48263020,1
22851904,0
8216291,0
13772061,0
50123632,1
49581897,1
71974684,0
63241716,0
28651823,0
148880153,0
15110645,0
62809879,0
17024917,0
15548571,0
49080426,1
125652888,0
49346436,1
49376994,1
46947864,1
9174742,0
13789351,0
55561232,0
38164283,0
46882050,1
61725745,0
49293588,1
28912194,0
16449297,0
47851849,1
93865687,0
28298190,0
50536515,1
48163440,1
107557959,0
151184561,0
29687707,0
135130207,0
49288635,1
41297934,1
15707665,0
8735274,0
130426799,0
19224066,0
65053589,0
49550129,1
49811763,1
25242499,0
22814351,0
50068560,1
48083595,1
43882389,1
11826288,0
50094702,1
89075840,0
140821610,0
48058908,1
72704570,0
49061489,1
55140554,1
51331409,1
41080484,1
46796962,0
52947018,0
19663623,0
64872218,0
115861333,0
63799275,0
49304741,1
49292737,1
9691046,0
107703724,0
49291681,1
48677562,1
12467975,0
48091517,1
101149146,0
49568026,1
15753005,0
51057165,1
75792786,0
51116959,1
49667393,1
118761205,0
91038057,0
11708691,0
54015352,0
75905494,0
49343942,1
46175515,1
49315177,1
49359899,1
51075402,1
45576441,1
16984113,0
138852556,0
9715182,0
41089492,1
48306241,1
11309404,0
9758599,0
48568841,1
50533622,1
50711140,1
50043157,1
59079419,0
44894578,1
49325161,1
56389197,0
49299753,1
129481838,0
70982006,0
75399499,0
51085054,1
31380080,0
11880983,0
92175783,0
45674453,1
144895397,0
15774228,0
43161517,1
51231100,1
68243539,0
49028358,1
20014797,0
49293057,1
97697062,0
18452175,0
49331516,1
51246411,1
65989109,0
49356764,1
49612379,1
49348929,1
48568795,1
135132011,0
49622078,1
49289404,1
101680623,0
45538557,1
9638091,0
50176374,1
52803138,0
12461049,0
49299601,1
48659619,1
7576022,0
22297260,0
48699571,1
122166652,0
43768291,1
50078779,1
55199199,1
48857468,1
9911836,0
49441740,1
47042576,1
12279354,0
47690518,1
51185292,0
73911743,0
49335307,1
49376132,0
26138060,0
50657744,1
55234163,1
49317286,1
49342058,1
67888544,0
50641059,1
51346289,1
141311365,0
84091446,0
12724593,0
49307525,1
73133999,0
49333160,1
49878697,1
47850032,1
48695424,1
55037525,1
108916815,0
54754292,0
47569431,1
49794346,1
45307299,1
41427936,1
49326391,1
55229684,1
47303480,1
19225665,0
10963070,0
51107069,1
65153161,0
49202149,1
125304745,0
48102409,1
125507612,0
49448930,1
55170964,1
14870544,0
50104708,1
49380021,1
100694808,0
51098463,1
103562485,0
31081484,0
44206822,0
15663020,0
41406029,0
13325877,0
43790910,0
25044023,0
49316163,1
50024246,1
43755982,1
10330101,0
9857397,0
47398062,1
62086616,0
50362148,1
64901465,0
17010215,0
45264993,1
159254925,0
51163582,1
70593203,0
50694841,1
50743776,1
61831348,0
50092240,1
19684182,0
20316247,0
17076123,0
22486119,0
7775195,0
40678665,0
16465393,0
10016254,0
45228906,1
16452006,0
58261680,0
50135946,1
49304524,1
72513845,0
47939215,1
116146825,0
60636155,0
153852684,0
48542839,1
50430057,1
50325943,1
49338779,1
45547076,1
49887331,1
50203729,1
49301244,1
43159841,1
50531640,1
46173503,1
19571391,0
18100560,0
149080927,0
49329083,1
51253113,1
51216524,1
43966515,1
65286726,0
98029665,0
