recommendationid,reviewerid,appid,review_count,game_count,playtime_forever,playtime_at_review,playtime_last_two_week,voted_up,votes_up,votes_funny,comment_count,steam_purchase,received_for_free,written_during_early_access
50389697,76561198053787765,244850,16,0,30048,5232,0,1,0,0,0,0,0,0
49289090,76561198068802633,244850,64,0,318,235,0,0,6,1,0,1,0,0
58564659,76561198127737719,244850,7,289,8636,8636,0,1,0,0,0,1,0,0
147006145,76561198314806267,244850,17,144,77549,75897,0,1,0,0,0,1,0,0
86109120,76561199110952446,244850,24,0,4183,542,0,1,0,0,0,1,0,0
66598773,76561198029730632,244850,10,0,23126,22177,0,1,1,0,0,1,0,0
49817269,76561197972380011,244850,12,0,52,52,0,0,4,0,0,1,0,0
50372448,76561198064344018,244850,32,0,2541,2541,0,0,6,2,0,1,0,0
49300731,76561198080591841,244850,308,0,6,6,0,0,2,2,1,0,0,0
11049635,76561198054219204,244850,12,0,60494,23947,0,1,1,0,1,1,0,0
10873344,76561198122107331,244850,7,0,2324,2118,0,1,0,0,0,0,0,1
49215473,76561198016808486,244850,57,479,3306,2358,0,0,0,0,0,1,0,0
51084257,76561198160304018,244850,46,246,49195,13921,2359,1,0,0,2,0,0,0
10988269,76561198037969033,244850,3,0,57906,1872,0,1,0,0,0,1,0,1
49188442,76561198172090785,244850,3,46,17994,7947,0,0,2,0,0,1,0,1
69261819,76561198254873225,244850,30,81,116015,14896,75,1,0,0,0,0,0,0
62040946,76561198353587578,244850,6,0,5636,510,0,1,0,0,0,1,0,0
64380114,76561199028409187,244850,2,0,44984,1823,0,1,0,0,0,1,0,0
51233621,76561198339035377,244850,21,196,50205,2213,0,0,0,3,0,1,0,0
40120968,76561198119462653,244850,3,152,82016,28725,0,1,1,0,0,1,0,1
50074400,76561198068528251,244850,70,0,641,620,0,0,10,0,0,0,0,0
39869014,76561197963055399,244850,15,0,36700,33401,0,1,1,0,0,0,0,1
10190249,76561198082880577,244850,3,107,3484,1993,0,1,0,0,0,1,0,1
50038930,76561198132917334,244850,16,68,8776,8391,0,0,7,0,0,0,0,0
84192419,76561198977860267,244850,7,0,1165,289,0,1,0,0,0,1,0,0
22348571,76561198028719382,244850,2,0,20661,3085,0,1,0,0,0,1,0,1
9772083,76561198045556681,244850,50,0,86,79,0,1,0,0,0,0,0,1
49723235,76561197977925955,244850,3,439,66043,36891,0,0,3,0,0,1,0,0
49304366,76561198039981648,244850,28,0,2828,2725,0,1,0,0,0,1,0,0
50233577,76561198044945742,244850,14,96,1424,1424,0,0,7,0,0,1,0,0
