topic_index,keywords
0,"{'information': 108.3258554393842, 'customer': 97.63291212821912, 'service': 94.75718348093294, 'use': 83.90760681646124, 'vrchat': 73.36814553182477, 'dice': 67.03958288962608, 'game': 66.64145613712793, 'email': 58.764013137742786, 'response': 58.56597895878507, 'dev': 57.00086864155026}"
1,"{'cards': 141.30319308831005, 'game': 111.201502936166, 'deck': 103.35419350599953, 'like': 96.85769115634362, 'just': 63.59236245681241, 'time': 48.60745793312173, 'fun': 48.2713742613749, 'need': 38.80077376694887, 'really': 38.35420498031923, 'hours': 37.754695188161406}"
2,"{'game': 935.5439097364259, 'like': 412.0003394549593, 'just': 388.876970325089, 'really': 268.51182425002787, 'good': 159.82219123889755, 'way': 159.466951520453, 'time': 137.0577801966104, 'games': 126.56993738211324, 'don': 117.08911060482575, 'll': 106.79089045942862}"
3,"{'game': 522.4203435556637, 'like': 137.36492422292469, 'just': 75.03142010204377, 'games': 69.32091753272023, 'time': 68.83632569836895, 've': 63.713161968293235, 'people': 60.82248381797222, 'playing': 50.92481770303255, 'don': 45.710195283653086, 'doesn': 45.58525017275826}"
4,"{'game': 198.1428768845481, 'things': 39.56046773465987, 'don': 38.20734416413563, 'time': 36.68673216819049, 'builders': 36.415988259927616, 'like': 32.08257906425447, 'ui': 30.75183912620168, 'need': 28.685072804878338, 'bike': 28.283270762105275, 'way': 27.423765200627958}"
5,"{'looking': 375.16676857610423, 'forward': 368.85147265478037, 'game': 227.6989286296614, 'fun': 64.91627036974403, 'seeing': 60.055097525854336, 'realy': 59.86409585397826, 'look': 57.222753357906356, 'password': 54.698986440604074, 'games': 53.64470089319089, 'updates': 48.35070172775233}"
6,"{'super': 558.1479468755095, 'wow': 267.9287207201415, 'like': 99.42511351362626, 'nope': 58.76020860011506, 'startup': 55.786987216723915, 'game': 54.81577950196961, 'fun': 43.602467842096324, 'just': 40.98618704254721, 'remove': 36.73668862687041, 'border': 32.47127230935312}"
7,"{'game': 334.99106218536764, 'watch': 207.7661626377945, 'youtube': 192.0337156531246, 'https': 166.96089348766995, 'com': 150.87151170184367, 'www': 140.98964299489782, 'just': 98.67215252510584, 'don': 98.47518521535879, 'button': 89.15691279411854, 'review': 82.9507924395297}"
8,"{'awesome': 902.9680744266967, 'game': 231.74057617556537, 'sim': 211.78783222431485, 'hang': 51.49554019886502, 'till': 49.326766892116495, 'simulators': 45.514193755779885, 'uplay': 41.96988826648694, 'like': 33.66850063353544, 'love': 32.64258419467515, 'fun': 30.451744051694057}"
9,"{'steam': 1992.2661493758555, 'game': 1718.9819137283166, 'account': 798.6442366568946, 'play': 624.088923450752, 'launcher': 462.5327362189336, 'refund': 392.7176384297878, 'frontier': 362.9480876580466, 'purchase': 299.2690942420316, 'launch': 298.8313857973861, 'start': 292.20458996975646}"
10,"{'items': 158.4085044609795, 'parts': 141.27489805653164, 'game': 134.83182496044375, 'sell': 128.88505460843712, 'coins': 111.38978345837168, 'vehicle': 108.25044054018458, 'money': 103.79458744129258, 'market': 103.20973574263876, 'need': 92.31842340627774, 'crossout': 89.71793415714943}"
11,"{'mobile': 194.60614250582196, 'robot': 147.5518477481277, 'game': 105.11599080069121, 'gamers': 80.72036192767158, 'pc': 70.6115954069003, 'app': 64.91337202055641, 'new': 47.743158315368596, 'just': 30.944628179689985, 'didn': 29.419409405849837, 'use': 26.388660396715657}"
