recommendationid,reviewerid,review_count,game_count,playtime_forever,playtime_at_review,playtime_last_two_week
51171015,76561197994998893,2,0,32,32,0
48434843,76561198006260288,294,0,64,60,0
49730158,76561198040371571,1,72,447,447,0
149973515,76561199161103863,3,0,261,45,0
149618805,76561198040646731,34,0,92,92,0
136210293,76561198427374233,5,0,235,235,0
122210273,76561198071159010,3,0,737,736,0
73172855,76561198138523554,8,0,25,25,0
70648654,76561198022866997,216,0,10,10,0
61970317,76561198306649890,219,0,66,39,0
51311396,76561197993506627,69,1071,7,7,0
48910893,76561198079756150,6,444,442,442,0
48593037,76561197971152355,33,1879,110,110,0
155953357,76561197999780579,9,0,2096,2096,0
152707755,76561198041516169,131,0,15,15,0
152564110,76561198055474927,36,0,1075,341,0
131784587,76561198342961572,28,162,8297,8297,0
129736529,76561198165558954,2,0,35309,24784,0
77062612,76561199066212917,2,0,64480,3542,52
75121868,76561197994027392,108,0,33577,13016,0
72254456,76561198213907136,48,116,308,308,0
71431621,76561198011014124,7,0,53111,9980,0
58966464,76561198137424341,126,1842,254,42,0
54606597,76561198209476948,4,0,1086,708,0
50551203,76561198088836857,1,0,1492,597,0
50448182,76561198079855603,47,0,1345,139,0
48956290,76561198006779084,12,0,871,537,0
48890682,76561197990354493,797,0,32,32,0
48760443,76561198328280692,5,0,2747,1448,0
48749568,76561198049596933,4,0,347,347,0
48739417,76561198055586349,50,0,3847,2723,0
48738476,76561198000958120,3,48,375,193,0
48727369,76561198803796363,12,0,15,15,0
48720263,76561197970334214,101,965,432,132,0
48713451,76561198086901479,21,0,19,19,0
48686370,76561198138561217,5,0,17,17,0
48685420,76561198131365086,3,0,1517,59,0
48668298,76561198092847022,2,0,782,212,0
48659268,76561198815642245,2,0,12,12,0
48658638,76561198098146606,2,0,27,27,0
48657677,76561198039518115,3,830,70,52,0
48656859,76561198004244452,3,0,27,27,0
124571898,76561198005398610,1,0,75,44,0
120015695,76561198101362683,20,344,181,181,0
106132667,76561198420457274,18,134,28,28,0
72639078,76561198083736752,148,526,61,52,0
69162968,76561197994049222,166,1320,18,18,0
63829088,76561198029817347,3,0,17,13,0
54750070,76561198069765005,38,0,68,15,0
160300903,76561198005816534,18,361,110,19,0
153260195,76561197994944419,12,0,689,689,0
153022362,76561198801110133,4,0,1009,988,0
152953165,76561198047474483,167,0,438,438,0
92124344,76561199103401107,1,0,15,13,0
73589538,76561198049006249,43,0,243,241,0
69790774,76561198024969036,6,0,67,67,0
65213001,76561198083708122,161,4992,729,37,0
64754166,76561198017491430,24,0,12,12,0
55169123,76561198325639608,1,137,968,231,0
50042003,76561198072884548,10,189,370,363,0
49543791,76561197960783617,262,2437,13,13,0
60455687,76561197970602587,3660,6364,51,43,0
160177517,76561199445964682,10,0,22,16,1
153737898,76561198055928533,49,0,124,25,0
129063597,76561198181331019,3,0,1135,602,0
128756732,76561198081346982,29,209,12,12,0
128698240,76561198428811981,24,0,16,5,0
128687152,76561198091926267,98,0,856,28,0
50689328,76561198160388480,4,0,618,232,0
161811420,76561198843326670,131,1022,21983,18124,4041
158903157,76561198125411417,16,0,25225,25225,0
158686750,76561199383279433,1,0,37046,1697,11526
151360402,76561198016160169,1,0,473484,272449,19240
143325892,76561198126310492,11,0,20,7,0
142098576,76561198039569521,6,0,3298,654,0
142096678,76561197999692322,5,1461,184820,21171,0
141433986,76561198993259057,5,0,21695,21695,0
140946414,76561198043059130,11,384,5,5,0
140438264,76561198147518330,35,0,94,94,0
138591256,76561198069286772,69,0,3815,3815,0
138122084,76561198042235258,14,472,1124,1124,0
137878645,76561198045411208,69,170,29080,1168,0
137303055,76561198030810231,29,0,80006,80006,0
132957275,76561198028327060,38,0,120796,19044,0
132822300,76561198039074469,22,602,60244,60244,0
131715210,76561198104687015,3,583,2104714,1489375,20038
130416594,76561198221940784,11,0,4991,4777,0
128562102,76561198020243093,80,0,1096,1096,0
127916173,76561198021752456,12,0,76627,76627,0
127335136,76561198000903121,69,0,1085,1085,0
125553130,76561198035595270,12,1791,182682,182682,0
123826303,76561198004903022,52,299,59255,59255,0
123382290,76561198169042023,35,840,136147,93368,2309
122000424,76561198041217173,106,1022,12,12,0
121704297,76561198812739702,80,0,1088,693,0
120930726,76561198080175739,1,0,253167,253167,0
120532395,76561198258136423,8,0,129924,129924,0
119847123,76561198028789011,12,0,83,83,0
119584091,76561198106305880,342,649,52407,52396,0
119383240,76561197995186207,11,0,490345,490345,0
118962420,76561198287080362,1,0,5259,5259,0
118951874,76561197988120993,98,468,458,330,0
117741036,76561197977417615,43,0,49650,21276,0
117461277,76561198105042933,2,118,284568,231457,0
116687813,76561198317336785,5,0,272468,118298,0
116451122,76561198062058915,6,0,101020,27209,0
116440824,76561198375328941,1,0,55190,23980,0
115870155,76561198005463523,21,796,3013,22,0
115743386,76561198126849954,10,0,23,6,0
113544790,76561197976419184,4,0,20091,19862,0
113532292,76561198312711661,6,0,33715,13962,0
112422094,76561198058703683,93,0,3187,398,0
108661192,76561198014053749,3,0,414,379,0
102748815,76561197972403463,15,0,61,61,0
102157828,76561198323615436,6,69,13212,12639,0
102064615,76561198829031348,1,0,91790,68986,0
101904029,76561197973051017,6,0,10265,10265,0
101546870,76561199030624734,10,35,10357,9937,0
100112947,76561199101266992,16,43,1371,1292,0
99801275,76561198125395371,38,147,10828,7914,0
63840205,76561197970513755,51,419,153546,153546,0
59411603,76561198149167561,5,0,6,6,0
57309652,76561198142007379,5,0,439,395,0
56989463,76561198030925494,5,0,192498,63696,0
55476373,76561198121929944,16,0,635,635,0
