reviewerid,review_cnt,response_cnt,voted_up_cnt,votes_up_cnt,votes_funny_cnt,comment_count,game_count
76561198053787765,1,1,1,0,0,0,0
76561198068802633,1,1,0,6,1,0,0
76561198127737719,1,0,1,0,0,0,289
76561198314806267,1,0,1,0,0,0,144
76561199110952446,1,0,1,0,0,0,0
76561198029730632,1,0,1,1,0,0,0
76561197972380011,1,1,0,4,0,0,0
76561198064344018,1,1,0,6,2,0,0
76561198080591841,1,1,0,2,2,1,0
76561198054219204,1,0,1,1,0,1,0
76561198122107331,1,0,1,0,0,0,0
76561198016808486,2,2,1,1,0,1,481
76561198160304018,1,1,1,0,0,2,246
76561198037969033,1,0,1,0,0,0,0
76561198172090785,1,1,0,2,0,0,46
76561198254873225,1,0,1,0,0,0,81
76561198353587578,1,0,1,0,0,0,0
76561199028409187,1,0,1,0,0,0,0
76561198339035377,2,2,0,17,5,5,196
76561198119462653,1,0,1,1,0,0,152
76561198068528251,1,1,0,10,0,0,0
76561197963055399,1,0,1,1,0,0,0
76561198082880577,1,0,1,0,0,0,107
76561198132917334,1,1,0,7,0,0,68
76561198977860267,1,0,1,0,0,0,0
76561198028719382,1,0,1,0,0,0,0
76561198045556681,1,0,1,0,0,0,0
76561197977925955,1,1,0,3,0,0,439
76561198039981648,1,0,1,0,0,0,0
76561198044945742,1,1,0,7,0,0,96
76561198085386619,1,0,1,3,0,0,0
76561198043903992,1,0,1,0,0,0,0
76561198072299840,1,0,1,1,0,0,0
76561197995411189,1,1,0,1,1,0,0
76561198039652280,1,0,1,0,0,0,0
76561198185409651,1,0,1,0,0,0,0
76561198920313802,1,0,1,0,0,0,0
76561197977585282,1,0,1,0,0,0,219
76561198166558036,1,0,1,0,0,0,0
76561198037835042,1,1,0,3,0,2,0
76561198099486891,2,1,1,1,0,0,0
76561198149050768,1,0,1,0,0,0,0
76561198049326756,1,1,0,14,0,0,0
76561198047887861,1,1,0,1,1,0,0
76561198046966974,1,0,1,0,0,0,0
76561198066724630,1,0,1,0,0,0,0
76561198005903494,1,1,1,0,0,0,381
76561198105622660,1,0,1,1,0,0,61
76561198286010841,1,0,1,0,1,1,0
76561198058790308,1,0,1,0,0,0,0
76561198186659487,1,0,1,1,0,0,115
76561198028311394,1,1,0,11,1,0,0
76561198070684007,1,1,0,5,2,3,0
76561198054979270,1,1,0,5,0,0,0
76561198023680767,1,0,1,1,0,0,15
76561198066654696,1,0,0,2,1,0,0
76561198044776143,1,1,0,1,0,0,79
76561198141698728,1,1,1,0,0,0,0
76561198017970645,1,1,0,1,0,0,0
76561198080452997,1,0,1,0,0,0,0
76561198104412368,1,1,0,2,1,0,422
76561198023515833,1,1,0,3,2,7,0
76561198001136560,1,1,0,0,0,0,179
76561198343189951,1,0,1,1,0,0,87
76561197960534842,1,1,0,2,1,0,0
76561198004235940,1,1,0,9,0,0,615
76561198340894283,1,1,0,7,0,1,0
76561199396611941,1,0,0,1,0,0,0
76561197983559412,1,1,0,1,1,0,0
76561198256369655,1,1,0,7,6,0,0
76561198097159240,1,0,1,0,0,0,96
76561197979792246,1,0,1,0,0,0,1219
76561198033673839,1,0,1,0,0,0,0
76561198028885818,1,0,1,1,0,0,0
76561198285615192,1,1,0,3,0,0,0
76561198001177498,1,0,1,1,0,0,814
76561198419809877,1,1,0,2,0,0,0
76561197984468686,1,0,1,1,0,0,0
76561198007021537,1,1,0,1,1,0,0
76561198046305331,1,0,1,0,0,0,0
76561198030534637,1,0,1,1,0,0,312
76561197961363992,1,0,1,1,0,0,0
76561198126917205,1,0,1,0,0,0,0
76561198114049397,1,1,0,2,0,0,0
76561197989221482,1,1,0,1,2,0,74
76561198057243271,1,1,0,1,0,0,457
76561197989772062,1,0,1,0,0,0,0
76561198077282110,1,0,1,0,0,0,164
76561197971912705,1,1,0,49,6,0,576
76561197990363922,1,1,0,4,0,0,456
76561198167680202,1,1,0,2,4,0,370
76561198882210996,1,0,1,0,0,0,0
76561198023458653,1,1,0,3,0,0,0
76561198141227061,1,0,1,0,0,0,372
