appid,categories
1000540,"[1, 49, 36, 22, 15]"
1000130,"[2, 22, 25, 62]"
1000770,"[2, 22, 29, 18, 15, 62]"
1001990,"[2, 62]"
1002830,"[2, 18, 62]"
1004270,"[2, 1, 9, 38, 23, 62]"
1004370,"[2, 22, 28, 23, 62]"
1004610,"[2, 22, 28, 29, 23, 43, 62]"
1005410,"[2, 22, 28, 29, 23, 25, 41, 42, 43, 62]"
1005990,"[2, 22, 18, 25, 62]"
1009180,"[2, 1, 49, 37, 24, 30, 23, 17, 44, 62]"
1011030,"[2, 22, 25, 62]"
1011830,"[2, 22, 23, 62]"
1012110,"[2, 1, 49, 36, 22, 30, 18, 62]"
1012280,"[2, 18, 62]"
1013320,"[2, 1, 20, 49, 36, 9, 38, 27, 22, 29, 35, 23, 15, 41, 42]"
1013960,"[2, 30, 23, 62]"
1014810,"[2, 1, 49, 36, 37, 24, 22, 28, 15, 25, 44, 62]"
1015610,"[2, 1, 20, 49, 36, 9, 38, 27, 52, 54, 62]"
1016030,"[2, 1, 9, 38, 28, 62]"
1016360,"[2, 1, 9, 38, 22, 28, 23, 43, 62]"
1016800,"[2, 22, 28, 29, 23, 43, 62]"
1018130,"[2, 22, 25, 62]"
1018810,"[2, 22, 18, 62]"
1018960,"[2, 22, 62]"
1019790,"[2, 1, 49, 37, 24, 22, 28, 44]"
1020610,"[2, 62]"
1021680,"[2, 52, 54, 25, 62]"
1023550,"[2, 1, 9, 38, 39, 24, 27, 22, 28, 15, 25, 62]"
1023260,"[2, 22, 18, 62]"
1024650,"[2, 22, 29, 18, 23, 62]"
1025200,"[2, 22, 35, 25]"
1028740,"[2, 22, 23, 25, 62]"
1030760,"[2, 28]"
1031020,"[2, 23, 62]"
1031120,"[2, 22, 62]"
1031440,"[2, 22, 52, 54, 29, 62]"
1032520,"[2, 22, 23]"
1031900,"[2, 22, 23, 62]"
1033510,"[2, 62]"
1034200,[2]
1034130,"[2, 62]"
1034230,"[2, 62]"
1038370,"[2, 22, 28, 29, 30, 23, 25, 62]"
1039080,"[2, 22, 62]"
1041520,"[2, 1, 49, 36, 9, 38, 22, 62]"
1040420,"[2, 22, 28, 29, 23, 62]"
1042780,"[2, 22, 28, 23, 62]"
1045180,"[2, 28, 62]"
1045520,"[2, 22, 29, 62]"
1046350,"[2, 28, 62]"
1046660,"[2, 1, 49, 36, 37, 24, 27, 44, 62]"
1047950,"[2, 28, 62]"
104900,"[2, 1, 49, 36, 9, 38, 22, 28, 29, 30, 8, 15, 25, 17, 44, 62]"
1049280,"[2, 22, 28, 29, 23, 62]"
1051690,"[2, 22, 28, 23, 62]"
1052220,"[2, 22, 23, 62]"
1054430,"[2, 1, 49, 36, 37, 9, 38, 39, 24, 22, 28, 29, 23, 25, 43, 44, 62]"
1054510,"[2, 1, 9, 38, 18, 23, 62]"
1055490,"[2, 22, 23, 62]"
1057090,"[2, 22, 28, 23, 41, 42, 43, 61, 62]"
1057430,"[2, 22, 28, 23]"
1058740,"[2, 22, 62]"
1059230,"[2, 22, 29, 18, 62]"
1059980,"[2, 22, 28, 62]"
1060600,"[2, 22, 18, 23, 62]"
1061100,"[1, 20, 49, 36, 9, 38, 18, 62]"
1061150,"[1, 49, 37, 24, 28, 44]"
1061900,"[2, 22, 52, 54, 23, 62]"
1062090,"[2, 23, 17, 62]"
1062110,"[2, 1, 9, 39, 24, 22, 28, 23, 41, 42, 43, 44, 62]"
1062660,"[2, 62]"
1064460,"[2, 22, 28, 62]"
1065100,"[2, 62]"
1067350,"[2, 62]"
1069220,"[1, 49, 36, 22, 23, 15, 25]"
1069270,"[2, 22, 18, 62]"
1069540,"[2, 23, 62]"
1069910,"[2, 1, 22, 15, 25, 62]"
1069750,"[2, 1, 49, 37, 9, 39, 24, 28, 43, 44, 62]"
1070410,"[2, 22, 52, 54, 13, 62]"
1071620,"[1, 49, 36, 9, 38, 35]"
1071770,"[2, 22, 23, 62]"
1074610,"[2, 1, 9, 38, 22, 28, 23, 62]"
1076160,"[2, 30, 17, 62]"
1076500,"[1, 49, 36, 9, 38, 22, 35, 15, 25]"
1077530,"[2, 1, 9, 38, 27, 62]"
1081110,"[2, 22, 28, 62]"
1081250,"[2, 22, 52, 54, 15, 62]"
1082220,"[2, 1, 9, 38, 39, 24, 27, 22, 28, 15, 44, 62]"
1082650,"[2, 22, 62]"
1084350,"[2, 1, 49, 36, 9, 38]"
115200,"[2, 1, 49, 36, 37, 44, 62]"
204360,"[2, 1, 49, 36, 37, 9, 38, 39, 24, 22, 28, 29, 23, 25, 41, 42, 43, 44, 62]"
204880,"[2, 1, 49, 36, 47, 9, 38, 48, 22, 29, 23, 17, 62]"
207610,"[2, 22, 28, 29, 62]"
213670,"[2, 22, 28, 41, 42, 43, 62]"
225600,"[1, 49, 36, 37, 27, 22, 29, 30, 35, 18, 23, 15, 17, 16, 44]"
227000,"[2, 22, 29, 13, 23, 14, 62]"
