recommendationid,topic
51171015,"[('something', 0.4179), ('certainly', 0.3295), ('it', 0.2765)]"
48434843,"[('tower', 0.4456), ('entrances', 0.2926), ('playing', 0.2534), ('defense', 0.2495), ('flash', 0.2425)]"
49730158,"[('draw', 0.331), ('balance', 0.3216), ('playable', 0.2616), ('game', 0.2588), ('advantage', 0.2366)]"
149973515,"[('unplayable', 0.5331), ('sad', 0.3439), ('potential', 0.3054), ('trying', 0.2192), ('how', 0.21)]"
149618805,"[('dev', 0.4924), ('game', 0.4009), ('fun', 0.3674), ('responsive', 0.2609), ('understand', 0.2403)]"
136210293,"[('bugs', 0.5604), ('seeds', 0.3764), ('seed', 0.372), ('bug', 0.3703), ('game', 0.3363)]"
122210273,"[('bugs', 0.3867), ('jobs', 0.2996), ('job', 0.2943), ('game', 0.2904), ('developers', 0.2853)]"
73172855,"[('tutorial', 0.4852), ('florist', 0.4201), ('concept', 0.2993), ('ideas', 0.2933), ('polishing', 0.2473)]"
70648654,"[('qol', 0.4037), ('bugs', 0.2819), ('job', 0.2799), ('quests', 0.277), ('map', 0.273)]"
61970317,"[('trash', 0.4256), ('customization', 0.286), ('idea', 0.2791), ('tutorial', 0.2612), ('job', 0.2414)]"
51311396,"[('subtitles', 0.5862), ('english', 0.3542), ('language', 0.3323), ('game', 0.3201), ('needs', 0.2479)]"
48910893,"[('recipe', 0.3817), ('coffee', 0.3067), ('level', 0.2557), ('weather', 0.2517), ('60', 0.2454)]"
48593037,"[('sale', 0.4045), ('buying', 0.3974), ('upgrades', 0.3561), ('purchase', 0.3538), ('buy', 0.3451)]"
155953357,"[('backup', 0.499), ('files', 0.3537), ('saved', 0.3444), ('file', 0.2644), ('survival', 0.2438)]"
152707755,"[('stable', 0.3588), ('maps', 0.3436), ('horses', 0.3321), ('camera', 0.3278), ('smoothing', 0.3253)]"
152564110,"[('survivor', 0.3565), ('bugs', 0.3134), ('dev', 0.3021), ('ea', 0.295), ('forest', 0.2929)]"
131784587,"[('devs', 0.3559), ('island', 0.3518), ('hours', 0.2798), ('update', 0.2744), ('game', 0.257)]"
129736529,"[('shotgun', 0.3471), ('game', 0.3331), ('watering', 0.3325), ('water', 0.3027), ('bottles', 0.2569)]"
77062612,"[('game', 0.364), ('games', 0.3522), ('mouse', 0.2612), ('inventory', 0.2612), ('played', 0.2594)]"
75121868,"[('island', 0.5197), ('islands', 0.5144), ('wildlife', 0.486), ('ashore', 0.4), ('animals', 0.3353)]"
72254456,"[('quake', 0.452), ('malware', 0.3822), ('pc', 0.3454), ('malicious', 0.3349), ('island', 0.3018)]"
71431621,"[('fishing', 0.6327), ('pole', 0.5752), ('game', 0.2906), ('need', 0.1893), ('we', 0.179)]"
58966464,"[('grass', 0.3581), ('textures', 0.3313), ('bugs', 0.3146), ('floating', 0.2602), ('masterpiece', 0.2476)]"
54606597,"[('iron', 0.5067), ('boars', 0.4087), ('weapons', 0.37), ('islands', 0.3214), ('wolves', 0.3036)]"
50551203,"[('sail', 0.4299), ('entertained', 0.3578), ('respawn', 0.3372), ('content', 0.307), ('running', 0.2871)]"
50448182,"[('review', 0.3726), ('rafts', 0.3501), ('stranded', 0.3272), ('huts', 0.2739), ('flying', 0.2434)]"
48956290,"[('spawn', 0.3974), ('smelter', 0.3519), ('shelter', 0.3491), ('land', 0.3378), ('island', 0.328)]"
48890682,"[('game', 0.3487), ('updates', 0.3242), ('bugs', 0.3223), ('recommend', 0.1977), ('worry', 0.1871)]"
48760443,"[('crafting', 0.3491), ('bored', 0.3217), ('hours', 0.3102), ('game', 0.3087), ('building', 0.2864)]"
48749568,"[('developer', 0.5248), ('responsive', 0.5104), ('game', 0.3291), ('very', 0.2426), ('beautiful', 0.1952)]"
48739417,"[('wildlife', 0.458), ('explore', 0.434), ('environment', 0.4129), ('exploration', 0.4085), ('islands', 0.3711)]"
48738476,"[('rust', 0.4994), ('devs', 0.4596), ('games', 0.29), ('screw', 0.2597), ('hope', 0.2596)]"
48727369,"[('feathers', 0.3208), ('effects', 0.316), ('effect', 0.3065), ('tree', 0.3028), ('game', 0.2258)]"
48720263,"[('island', 0.3999), ('islands', 0.3533), ('game', 0.3532), ('games', 0.3402), ('played', 0.2993)]"
