recommendationid,brevity
50389697,27
49289090,12
58564659,20
147006145,13
86109120,3
66598773,2
49817269,13
50372448,64
49300731,5
11049635,32
10873344,49
49215473,105
51084257,81
10988269,35
49188442,89
69261819,8
62040946,1
64380114,31
51233621,195
40120968,2
50074400,83
39869014,96
10190249,77
50038930,80
84192419,1
22348571,4
9772083,106
49723235,66
49304366,52
50233577,103
15628491,117
11224505,4
11914566,5
49619266,97
7615211,87
99886028,11
85497291,114
9835109,23
66699226,2
47474687,32
21282277,17
37985521,105
50087220,56
47689451,1
83399185,49
116734744,3
55109756,174
61485003,2
69149671,27
74866219,16
103005072,1
49469948,38
45660576,370
49301515,85
28305583,151
109838547,129
49332600,158
50276629,47
43920218,78
132849765,31
43748097,131
49510916,54
50803970,221
67537000,13
49342126,53
50255908,14
50099912,10
135721618,76
49784016,295
49730278,109
146244419,1
17073607,44
17973503,46
62978740,222
50759657,66
32322320,96
50934977,347
17716837,19
55148157,44
33622104,64
9882309,26
43235737,7
65506480,2
47630835,1
43879707,225
47664018,1
9464695,3
8727564,52
43379472,251
47915542,40
45655617,64
62781222,7
49338325,235
28655759,4
48263020,266
22851904,79
8216291,4
13772061,22
50123632,64
49581897,96
71974684,16
63241716,35
28651823,44
148880153,4
15110645,5
62809879,3
17024917,12
15548571,6
49080426,22
125652888,18
49346436,215
49376994,7
46947864,43
9174742,1
13789351,19
55561232,58
38164283,26
46882050,7
61725745,19
49293588,16
28912194,1
16449297,9
47851849,23
93865687,2
28298190,37
50536515,36
48163440,2
107557959,25
151184561,5
29687707,1
135130207,1
49288635,17
41297934,16
15707665,20
8735274,1
130426799,11
19224066,38
65053589,2
49550129,50
49811763,16
25242499,83
22814351,25
50068560,145
48083595,84
43882389,55
11826288,7
50094702,8
89075840,1
140821610,1
48058908,16
72704570,21
49061489,13
55140554,73
51331409,107
41080484,307
46796962,76
52947018,4
19663623,4
64872218,95
115861333,9
63799275,26
49304741,14
49292737,44
9691046,3
107703724,1
49291681,103
48677562,11
12467975,14
48091517,31
101149146,2
49568026,1
15753005,124
51057165,1
75792786,9
51116959,27
49667393,29
118761205,6
91038057,4
11708691,35
54015352,20
75905494,1
49343942,187
46175515,13
49315177,10
49359899,8
51075402,43
45576441,202
16984113,9
138852556,14
9715182,144
41089492,240
48306241,106
11309404,53
9758599,74
48568841,9
50533622,46
50711140,61
50043157,136
59079419,27
44894578,38
49325161,20
56389197,4
49299753,4
129481838,54
70982006,30
75399499,12
51085054,14
31380080,21
11880983,4
92175783,8
45674453,42
144895397,5
15774228,164
43161517,22
51231100,19
68243539,21
49028358,42
20014797,34
49293057,224
97697062,3
18452175,2
49331516,151
51246411,2
65989109,21
49356764,3
49612379,30
49348929,78
48568795,15
135132011,13
49622078,67
49289404,5
101680623,21
45538557,65
9638091,71
50176374,27
52803138,13
12461049,13
49299601,43
48659619,153
7576022,4
22297260,1
48699571,1
122166652,1
43768291,40
50078779,197
55199199,40
48857468,41
9911836,17
49441740,28
47042576,65
12279354,10
47690518,25
51185292,70
73911743,2
49335307,60
49376132,16
26138060,7
50657744,215
55234163,16
49317286,26
49342058,56
67888544,12
50641059,50
51346289,2
141311365,34
84091446,3
12724593,31
49307525,217
73133999,4
49333160,103
49878697,5
47850032,140
48695424,86
55037525,102
108916815,5
54754292,26
47569431,52
49794346,222
45307299,4
41427936,191
49326391,4
55229684,149
47303480,63
19225665,10
10963070,4
51107069,183
65153161,7
49202149,66
125304745,2
48102409,111
125507612,4
49448930,103
55170964,29
14870544,36
50104708,129
49380021,61
100694808,15
51098463,158
103562485,1
31081484,69
44206822,14
15663020,35
41406029,1
13325877,63
43790910,17
25044023,89
49316163,29
50024246,97
43755982,23
10330101,1
9857397,4
47398062,31
62086616,13
50362148,17
64901465,1
17010215,57
45264993,9
159254925,2
51163582,5
70593203,10
50694841,28
50743776,17
61831348,161
50092240,81
19684182,55
20316247,65
17076123,79
22486119,19
7775195,12
40678665,8
16465393,27
10016254,5
45228906,48
16452006,2
58261680,5
50135946,15
49304524,104
72513845,8
47939215,2
116146825,73
60636155,15
153852684,2
48542839,5
50430057,99
50325943,8
49338779,6
45547076,134
49887331,74
50203729,68
49301244,68
43159841,42
50531640,53
46173503,7
19571391,42
18100560,114
149080927,75
49329083,42
51253113,111
51216524,23
43966515,21
65286726,38
98029665,12
50037984,77
43309527,88
50443920,75
50821371,43
9748608,4
50133985,130
50730890,42
19037613,43
50035464,127
119729450,1
83776764,14
49363177,36
9620900,49
50036026,52
51432652,36
50381625,95
49286862,30
50192645,14
50037348,29
49300556,76
9782709,4
64552297,5
43537717,1
43963277,146
49325490,81
11694312,17
50080367,28
67775039,91
49384433,90
10116094,17
41594311,139
18666110,12
49027104,7
48256746,6
48938308,38
50129762,271
69573378,55
49493063,95
25444689,4
49393647,49
47019897,8
134783971,2
10122934,10
119009484,4
43500290,3
110114914,81
58342038,19
49528868,85
10077521,40
49289801,61
50272663,216
45752908,129
55070777,31
49351982,15
48935968,39
51182408,265
11334812,3
50326662,25
51453549,8
87145776,29
48024296,31
97883151,6
122982808,22
23840508,7
21013274,27
9930440,12
49409617,8
8186199,3
132166649,8
51283855,251
12455368,54
85233250,3
33826009,12
47597524,4
48115275,213
49285071,29
49338020,30
57484789,188
10024589,207
49285347,5
49320092,21
56530014,2
43956550,15
14551755,10
82398538,2
9802314,2
12229390,122
16893592,137
49293649,24
8943593,4
66698689,11
48723403,16
9176089,2
50065259,154
49775714,46
50605490,364
21802741,3
52972461,60
10947988,20
88927619,9
11708497,6
48776098,26
146432333,429
49323298,58
55206677,13
49526194,155
47198492,3
49285580,72
8641603,8
50035810,197
50096803,230
69259558,68
49947575,93
57714457,1
51707507,1
10084315,14
50112852,63
50732015,44
7602089,5
115128097,8
49282840,94
49690092,128
49682643,15
46965631,2
11146583,5
61248570,1
12320109,6
42158572,66
50080423,7
50868260,244
68262171,16
43291624,54
74670769,12
47955090,188
50360289,92
49316914,9
10088471,3
49304283,28
49895247,165
81434040,53
59007019,1
56877027,100
13859943,5
51187585,14
14766873,74
17790121,2
48354112,33
57021228,27
51386795,37
49899046,109
52481613,4
84980093,46
43657055,50
18968967,30
49339941,27
75333879,15
49537320,88
72043952,4
43938529,3
48412991,83
50338463,295
94069659,96
49366612,153
45309394,80
43300691,128
87050469,20
17400314,2
46810088,8
12796808,61
55810076,101
50517946,83
62991357,2
11027803,61
50270852,15
43827074,133
49321603,7
55253646,11
10164436,3
49657546,229
47253671,14
14370139,22
25650271,29
9837363,38
51294499,111
49750983,38
11898889,5
86982015,20
50085349,76
49333848,13
51337937,99
130779951,2
57484672,110
49519159,156
137028750,3
14633543,9
49580528,38
128840197,2
22346517,60
11962510,54
10155378,9
57098373,20
41583182,105
86249649,1
55039999,45
47880107,52
51163624,2
148944772,82
12467638,55
50035828,17
12469805,67
9782735,55
51520991,4
46646710,8
11364665,31
59415145,4
49343951,129
12452287,6
10723756,51
48569680,118
48211908,63
50132868,41
48193585,6
70141726,3
89339898,90
49681018,9
49619671,104
92395962,139
53003536,11
133921502,27
10550019,263
43628571,211
84738375,95
46839366,210
49980000,343
51141392,44
51645905,11
9134272,1
47862792,0
55190284,120
50098924,20
11105469,30
51157822,11
54927575,6
22327346,52
116554335,170
45210819,37
55058591,34
50103123,44
47557319,38
49304048,24
50535003,22
51130296,34
49288963,5
10043056,21
55039226,64
50038076,28
