compound,neg,neu,pos,recommendationid,length,readability_score,reviewerid,appid,review_count,game_count,playtime_forever,playtime_at_review,playtime_last_two_week,voted_up,votes_up,votes_funny,comment_count,steam_purchase,received_for_free,written_during_early_access
0.34,0.099,0.744,0.157,17312,2.0569048513364723,54.70828947368423,76561197960378913,204880,54,0,2058,1865,0,1,0,0,0,1,0,0
0.926,0.0,0.735,0.265,28335,2.4149733479708178,71.28000000000002,76561197960450545,227000,24,2892,1554,463,0,1,5,0,0,1,0,0
0.3612,0.0,0.737,0.263,36355,1.6127838567197357,100.0,76561197960520254,230190,5,202,7010,54,0,1,0,0,2,0,0,1
0.2716,0.0,0.323,0.677,51530,1.2552725051033058,100.0,76561197960758370,227000,8,0,672,672,0,1,0,0,0,1,0,0
-0.128,0.231,0.579,0.19,114485,1.6812412373755872,100.0,76561197962207436,227000,12,0,3293,2169,0,1,0,0,0,1,0,0
0.2732,0.067,0.813,0.12,142169,2.071882007306125,45.06578947368425,76561197963211512,225600,13,0,34578,18318,0,1,20,6,4,0,0,0
0.9274,0.075,0.511,0.414,143091,2.2095150145426303,47.67500000000001,76561197963242288,227000,24,0,4,0,0,1,0,0,0,1,0,0
0.9468,0.0,0.549,0.451,157319,2.176091259055681,73.16866666666668,76561197963639677,227000,119,0,489,304,0,1,0,0,0,1,0,0
0.9287,0.0,0.656,0.344,182131,2.255272505103306,82.20872727272727,76561197964384473,115200,11,680,67,24,0,1,0,0,0,1,0,0
0.34,0.045,0.875,0.08,240798,2.3159703454569174,82.27882882882884,76561197966366813,227000,11,727,438,438,0,1,0,0,0,1,0,0
0.5577,0.138,0.671,0.192,260576,2.4955443375464483,67.79916666666671,76561197966916859,227000,168,0,416,416,0,1,1,0,0,1,0,0
0.9312,0.0,0.707,0.293,268782,2.3483048630481607,58.84138211382114,76561197967185145,227000,122,0,450,450,0,1,0,0,0,1,0,0
0.5994,0.0,0.0,1.0,273298,0.9542425094393248,100.0,76561197967307161,227000,58,0,426,398,0,1,0,0,0,0,0,0
0.3818,0.0,0.698,0.302,290862,1.4771212547196624,100.0,76561197967769466,227000,65,906,640,503,0,1,0,0,0,1,0,0
0.4767,0.252,0.244,0.504,295159,1.4771212547196624,100.0,76561197967896755,227000,3,1224,458,458,0,1,0,0,0,1,0,0
0.9194,0.0,0.806,0.194,320407,2.488550716500444,68.37788679245286,76561197968545232,227000,39,738,1036,616,0,1,0,0,0,0,0,0
0.8126,0.0,0.625,0.375,399604,2.008600171761917,53.889852941176486,76561197970361977,227000,38,0,425,322,0,1,0,0,0,1,0,0
