topic_index,keywords
0,"{'game': 1506.35437874813, 'steam': 1095.9246423784311, 'account': 847.9256868836623, 'play': 665.9757215471383, 'frontier': 402.64671746632797, 'launcher': 391.01076815635776, 'log': 309.42530208560174, 'error': 291.0019350769392, 'support': 288.14623587876883, 'says': 283.72451482326136}"
1,"{'like': 363.8913300782225, 'game': 199.50762270513235, 'scum': 142.32351532487618, 'better': 118.89153350948898, 'vr': 118.00783546621408, 'games': 83.10315691802397, 'cards': 82.46533092023998, 'just': 77.12538522177124, 'really': 70.43316089584522, 'zombie': 64.72800883731152}"
2,"{'game': 3387.816990753089, 'just': 1769.3823018924043, 'like': 1731.8308350377506, 'really': 1144.653709667766, 'good': 620.5881414703987, 'don': 550.8728164156596, 'level': 548.3771629097324, 'feel': 539.2700990473937, 'way': 461.2353190467478, 'time': 460.9709574947109}"
3,"{'game': 9262.303761839295, 'like': 1479.3846381577723, 'review': 1411.4181250896663, 'bugs': 1259.0728318911947, 'early': 1163.1483590555622, 'just': 1145.4351614853317, 'devs': 956.6822765969933, 'access': 917.3052758919006, 'time': 905.5277946814634, 'good': 814.3546685319409}"
4,"{'game': 493.89145538575127, 'city': 208.50342038946374, 'loading': 207.0903757017547, 'screen': 173.46446661826965, 'stuck': 150.42954056775403, 'villagers': 140.95208642797914, 'builder': 105.45274132364398, 'time': 86.52571220170043, 'issues': 78.99394927382374, 'needs': 77.80645461470887}"
5,"{'10': 2787.342690844965, 'game': 544.031417065018, 'great': 129.6667165408413, 'fun': 118.22163338576405, 'looking': 107.15350650653477, 'solid': 85.83435416328172, 'like': 83.35413693637537, 'content': 78.16862569174056, 'hours': 69.4067380382754, 'best': 66.81908899171762}"
6,"{'cool': 1045.422702062137, 'like': 396.2055512819721, 'super': 320.4132426185523, 'game': 268.2022907306827, 'wow': 199.77198406338417, 'dayz': 116.81841680585094, 'lol': 104.3444821395163, 'cars': 87.5841558173899, 'addictive': 85.33235479326198, 'idk': 69.34876089380751}"
7,"{'game': 736.2512848554541, 'vr': 623.7676602632455, 'controller': 531.0584872433309, 'controls': 374.7363854371967, 'work': 294.1275937645549, 'support': 234.17086138822768, 'menu': 233.09001646668054, 'just': 229.69089800270666, 'h1': 225.70920813698376, 'keyboard': 192.0032258094327}"
8,"{'awesome': 496.5745265151122, 'game': 260.5900877471642, 'mac': 95.69216939676187, 'broken': 57.04145915410076, 'hours': 49.900578502126734, 'ed': 41.33276537435792, 'worked': 39.810197143957296, 'work': 37.89378067679712, 'freaking': 36.49757777831947, 'matchmaking': 35.627438432161966}"
9,"{'game': 976.53189275724, 'shit': 536.4260268398904, 'fucking': 362.69469669637954, 'keeps': 350.06401876561785, 'crashing': 290.1662233920817, 'love': 274.7119547052275, 'fuck': 234.70982860833433, 'play': 212.276141371743, 'garbage': 211.01917735804474, 'server': 185.80760582530877}"
10,"{'game': 99.51119794696933, '30': 92.72821472230085, 'people': 90.10570719622578, 'just': 85.25927973682039, 'coins': 83.63568510089229, 'blue': 82.65561632569106, 'parts': 78.84193691786253, 'like': 78.2546327890546, '10': 75.76561124333898, 'scrap': 73.9648386459589}"
11,"{'game': 432.2862378582226, 'pc': 384.7258627895514, 'games': 128.58240515543812, 'mobile': 125.44282573867446, 'mouse': 113.94237271423356, 'gamers': 102.940933430998, 'linux': 100.33226795202218, 'just': 99.628586172382, 'keyboard': 82.67207414458309, 'use': 76.84776287042793}"
12,"{'tutorial': 531.4941615658837, 'just': 449.6228935874255, 'game': 372.99156869438445, 'like': 307.92565172660915, 'controls': 279.21558540688164, 'play': 144.79382441044052, 'units': 144.49427942779977, 'way': 134.08866939970176, 'control': 131.84911447698428, 'mission': 116.42155739934519}"
13,"{'com': 337.34695503553166, 'pay': 226.67167191738554, 'win': 216.38646330032492, 'url': 205.340495946631, 'https': 205.2478577666011, 'id': 198.41117440227586, 'steamcommunity': 134.74769601471496, 'curator': 96.25008785834406, 'sharedfiles': 75.01999999998317, 'filedetails': 75.01999999998314}"
14,"{'virus': 454.01999999999043, 'like': 63.018794721058555, 'game': 50.048890788162026, 'fallout': 39.84129017712647, 'good': 33.30080799951681, 'npc': 27.821168041602554, 'play': 26.81467982752194, 'faithful': 20.79159471864756, 'ambiance': 20.599985680605194, 'oldschool': 17.46957936785558}"
15,"{'game': 1118.582700088879, 'space': 911.9126407718669, 'survival': 426.3219488606278, 'boring': 395.42903137157646, 'ship': 334.0232005113786, 'building': 314.14793989515994, 'ships': 288.0718831334235, 'build': 284.3303939861269, 'multiplayer': 274.3060797101543, 'mods': 258.79248746663797}"
16,"{'game': 1178.0459336480167, 'just': 745.464145210407, 'ship': 479.8474611481648, 'like': 389.25436447265656, 'time': 358.28091068240417, 'car': 357.15307500096117, 'good': 318.82490866716324, 'ships': 299.64493367060584, 'really': 297.1127339333102, 'hours': 294.92518066112007}"
17,"{'nice': 830.9596597732532, 'bots': 185.28427293774251, 'game': 154.90401020391025, 'royale': 100.53388878508825, 'battle': 65.50652335524376, 'suck': 56.95164013311588, 'reviews': 39.08807373182154, 'port': 38.0880789409542, 'cuz': 37.60944516072071, 'local': 32.37759578409799}"
18,"{'fps': 156.71882546002513, 'game': 155.81254186733452, 'best': 109.59072728937694, 'не': 59.606566999138586, '60': 49.57090857086027, 'что': 47.674812690272134, 'но': 46.67609320499693, 'ram': 42.00998847991865, 'games': 38.555935506860926, 'на': 36.131569457932244}"
19,"{'game': 263.1720001091523, 'like': 87.7126372764606, 'need': 81.4413718152843, 'crew': 79.59313543840167, 'don': 74.2583008797699, 'good': 59.1519131755783, 'just': 58.668762623713285, 'bow': 56.03554380146892, 'actually': 49.32436350255127, 'know': 45.470049896814686}"
20,"{'game': 672.4638756672682, 'hours': 259.50498746762383, 'like': 201.15609740393586, 'space': 178.84688928439616, 'star': 120.07313772420284, 'way': 115.3557195484088, 'mission': 106.21775180623922, 'time': 93.9146275032733, 'missions': 89.94937899601133, 'want': 87.34693999728732}"
