appid,original_review_cnt,original_response_cnt,undersampled_review_cnt,undersampled_response_cnt
244850,79991,674,1348,674
1180320,309,0,0,0
1423330,28,0,0,0
1623730,370,0,0,0
4700,18296,3,6,3
709470,7,0,0,0
3900,2071,0,0,0
3910,4342,0,0,0
3990,301,0,0,0
1369520,633,633,0,0
8930,120890,0,0,0
41300,1165,0,0,0
41660,11,0,0,0
41700,10125,0,0,0
41900,928,2,4,2
42850,214,1,2,1
42950,13,0,0,0
42960,10618,0,0,0
44100,77,0,0,0
45450,322,0,0,0
45760,7037,0,0,0
46270,129,0,0,0
46370,231,0,0,0
46440,186,0,0,0
47130,8,0,0,0
47410,4112,7,14,7
47700,2027,0,0,0
47780,10751,0,0,0
48150,13,0,0,0
49320,45,0,0,0
50000,199,0,0,0
50130,15577,0,0,0
50920,17,0,0,0
50970,64,0,0,0
50990,102,0,0,0
56437,6465,0,0,0
57900,6283,0,0,0
60600,34,0,0,0
61310,158,0,0,0
63200,893,0,0,0
63800,276,0,0,0
63910,466,0,0,0
65070,87,0,0,0
65200,67,0,0,0
65300,1816,0,0,0
71116,8,0,0,0
71119,5,0,0,0
71340,14365,0,0,0
72900,155,0,0,0
73020,819,0,0,0
80200,372,0,0,0
93200,835,0,0,0
98600,211,0,0,0
98800,4466,1,2,1
102200,279,0,0,0
102600,4104,0,0,0
104900,17076,1,2,1
221260,7965,0,0,0
222140,294,0,0,0
224860,511,0,0,0
224900,394,0,0,0
225420,1244,0,0,0
225600,2910,13,26,13
226740,1018,0,0,0
227000,2553,1198,2396,1198
227780,1228,1,2,1
228280,9263,81,162,81
228300,6213,0,0,0
229870,357,0,0,0
230190,4775,561,1122,561
231040,697,0,0,0
231740,1957,0,0,0
232050,1188,1,2,1
233230,1170,0,0,0
233840,1215,0,0,0
234900,1159,2,4,2
234940,890,0,0,0
235210,2299,0,0,0
235520,153,0,0,0
237550,198,0,0,0
237850,2714,19,38,19
238870,271,0,0,0
239820,23917,17,34,17
240660,62,0,0,0
241760,179,0,0,0
242880,2969,0,0,0
242920,27773,0,0,0
244030,1252,7,14,7
244590,581,0,0,0
244950,122,0,0,0
245170,16629,1,2,1
245470,5390,2,4,2
245490,1413,0,0,0
246820,18,0,0,0
247020,4325,0,0,0
247660,2685,0,0,0
248190,345,0,0,0
248450,168,3,6,3
248570,10146,3,6,3
249650,1615,0,0,0
249930,34,0,0,0
250420,2923,0,0,0
250540,51,0,0,0
250580,1100,0,0,0
251910,141,0,0,0
251950,1924,145,290,145
252170,179,0,0,0
252250,868,8,16,8
252830,234,0,0,0
253980,2039,0,0,0
254100,191,0,0,0
254200,2310,23,46,23
254880,128,0,0,0
255163,20,0,0,0
257750,1979,6,12,6
257870,65,0,0,0
258590,294,0,0,0
107600,837,0,0,0
108710,16997,0,0,0
110630,31,0,0,0
115120,840,0,0,0
115200,194,72,144,72
200150,258,0,0,0
200490,75,0,0,0
200900,5589,0,0,0
200910,1175,0,0,0
202410,110,0,0,0
202970,20167,0,0,0
204360,46168,2,4,2
204630,1497,0,0,0
204880,10473,7,14,7
205070,55,0,0,0
205550,150,0,0,0
205710,1855,0,0,0
206060,59,0,0,0
207320,1211,0,0,0
207610,31210,1,2,1
207730,188,0,0,0
207790,245,0,0,0
208400,931,0,0,0
208650,54795,0,0,0
209750,96,0,0,0
211204,3,0,0,0
211800,93,0,0,0
211900,268,0,0,0
212680,53459,0,0,0
213670,31190,3,6,3
214700,1480,0,0,0
216090,375,0,0,0
216130,119,0,0,0
216330,4,0,0,0
219740,38828,0,0,0
221100,72487,0,0,0
258760,459,0,0,0
